37037,7702,1,80451,3
37037,7702,1,80451,3
117315,115115,74263,113598,6942
187570,118972,120170,24863,151385
36206,15455,15471,76887,54842
77481,5641,8331,82037,38043
36206,15455,15471,76887,54842
207026,217554,154043,134502,152371
207026,217554,154043,134502,152371
10299,10300,24311,578,75690
194259,173167,12757,107175,7332
5634,194890,5647,194682,194231
10299,10300,24311,578,75690
102057,25,1860,26846,24
102057,25,1860,26846,24
23708,156150,35894,9034,26
11205,2959,33918,305,283
34,117015,135342,9498,11118
465,8964,468,467,50406
117315,115115,74263,113598,6942
39,117145,2552,1042,132097
10299,10300,24311,578,75690
45,143616,143623,55687,16276
46,6292,103238,11503,36637
68437,34582,961,10401,103291
77481,5641,8331,82037,38043
36206,15455,15471,76887,54842
36206,15455,15471,76887,54842
3731,107859,1250,134557,3732
3731,107859,1250,134557,3732
3731,107859,1250,134557,3732
3731,107859,1250,134557,3732
110891,26705,14435,112747,35435
2549,232,101055,71,10885
36856,172903,72,6744,1164
117144,10104,19120,51205,19123
36206,15455,15471,76887,54842
186495,30239,81678,110817,81683
145028,75285,15718,11353,55034
158043,165669,169762,142507,35638
131818,1955,36129,123913,105072
96200,18239,3080,114921,59252
186495,30239,81678,110817,81683
77481,5641,8331,82037,38043
27657,115,27656,27655,2963
36206,15455,15471,76887,54842
17210,131627,110344,124994,13062
5634,194890,5647,194682,194231
5634,194890,5647,194682,194231
123856,135460,176022,115851,9715
123856,135460,176022,115851,9715
145028,75285,15718,11353,55034
144991,157428,22752,150760,170537
18366,23383,23225,116191,74878
106608,3210,357,14368,54700
5634,194890,5647,194682,194231
465,8964,468,467,50406
117315,115115,74263,113598,6942
117315,115115,74263,113598,6942
152729,152461,219223,36369,62590
5634,194890,5647,194682,194231
5634,194890,5647,194682,194231
117315,115115,74263,113598,6942
106608,3210,357,14368,54700
17208,148667,83948,181107,83974
3731,107859,1250,134557,3732
186495,30239,81678,110817,81683
149763,11059,182179,21709,153054
123856,135460,176022,115851,9715
7516,191,174637,110416,191759
131818,1955,36129,123913,105072
131818,1955,36129,123913,105072
131818,1955,36129,123913,105072
127690,93664,78059,151275,209
117315,115115,74263,113598,6942
5634,194890,5647,194682,194231
212,9521,170360,143085,142200
57939,3825,27508,171963,76723
106608,3210,357,14368,54700
131818,1955,36129,123913,105072
131818,1955,36129,123913,105072
126098,6961,8941,7325,11031
2549,232,101055,71,10885
5634,194890,5647,194682,194231
176105,122907,113014,121567,51980
5634,194890,5647,194682,194231
465,8964,468,467,50406
1863,51933,9350,244,1853
247,8420,7535,9912,2534
11205,2959,33918,305,283
1889,132206,9531,142769,18671
36206,15455,15471,76887,54842
108376,5042,5049,53369,7615
39010,117738,38982,38980,35949
41130,111961,27462,31386,9209
11205,2959,33918,305,283
2924,6737,169462,10958,35651
5634,194890,5647,194682,194231
5634,194890,5647,194682,194231
11205,2959,33918,305,283
5634,194890,5647,194682,194231
5634,194890,5647,194682,194231
41130,111961,27462,31386,9209
146677,19130,2022,149757,71137
117315,115115,74263,113598,6942
5634,194890,5647,194682,194231
11205,2959,33918,305,283
5634,194890,5647,194682,194231
5634,194890,5647,194682,194231
27590,17569,309,28214,53719
16157,16156,63187,9855,10593
10299,10300,24311,578,75690
131818,1955,36129,123913,105072
10299,10300,24311,578,75690
77481,5641,8331,82037,38043
117315,115115,74263,113598,6942
5634,194890,5647,194682,194231
5634,194890,5647,194682,194231
78113,352,34406,7700,7702
5634,194890,5647,194682,194231
5634,194890,5647,194682,194231
106608,3210,357,14368,54700
117315,115115,74263,113598,6942
108376,5042,5049,53369,7615
117315,115115,74263,113598,6942
